N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한온시스템,"10,800",200,-1.82%,100,"57,650","533,800",17.15,"612,442",21.39,13.83,
60,F&F,"149,500","3,000",-1.97%,100,"57,269","38,307",12.48,"120,707",15.91,N/A,
61,강원랜드,"25,900",0,0.00%,500,"55,411","213,940",21.75,"457,949",227.19,-0.33,
62,LG유플러스,"12,500",50,+0.40%,"5,000","54,576","436,611",37.79,"716,033",7.96,9.47,
63,한국항공우주,"55,500",0,0.00%,"5,000","54,099","97,475",21.23,"836,596",61.19,5.19,
64,현대건설,"48,050","1,650",+3.56%,"5,000","53,506","111,356",23.78,"1,805,615",12.90,5.89,
65,삼성중공업,"6,020",30,+0.50%,"1,000","52,976","880,000",16.04,"4,172,104",-4.46,-36.89,
66,KODEX 200,"33,125",125,+0.38%,0,"52,735","159,200",2.81,"2,948,456",N/A,N/A,
67,SKC,"138,000","5,000",+3.76%,"5,000","52,258","37,868",14.60,"355,544",21.29,11.60,
68,맥쿼리인프라,"12,850",50,+0.39%,0,"52,023","404,846",13.53,"474,930",N/A,N/A,
69,한국타이어앤테크놀로지,"39,400",100,-0.25%,500,"48,807","123,875",36.19,"187,798",9.30,7.69,
70,코웨이,"65,100",300,+0.46%,500,"48,044","73,800",61.40,"86,664",10.12,27.41,
71,HD현대,"59,700","1,100",+1.88%,"1,000","47,159","78,993",16.29,"114,820",88.18,-1.99,
72,현대제철,"35,100",500,+1.45%,"5,000","46,839","133,446",21.43,"466,085",2.71,8.54,
73,DB손해보험,"63,500",500,+0.79%,500,"44,958","70,800",42.65,"150,731",4.82,13.38,
74,메리츠화재,"37,350",100,-0.27%,500,"43,626","116,802",11.46,"152,319",6.06,26.12,
75,삼성엔지니어링,"22,200",800,+3.74%,"5,000","43,512","196,000",40.09,"1,840,073",11.49,20.67,
76,현대미포조선,"108,500",500,-0.46%,"5,000","43,337","39,942",17.76,"196,390",-18.95,-7.11,
77,유한양행,"58,700",300,-0.51%,"1,000","42,987","73,231",19.29,"99,344",44.60,5.45,
